name,url,twitter,mastodon,mastodonsrv,linkedin
American Economic Journal: Applied Economics,https://www.aeaweb.org/journals/data/data-code-policy,aeadata,aeadata,mstdn.social,
American Economic Journal: Economic Policy,https://www.aeaweb.org/journals/data/data-code-policy,aeadata,aeadata,mstdn.social,
American Economic Journal: Macroeconomics,https://www.aeaweb.org/journals/data/data-code-policy,aeadata,aeadata,mstdn.social,
American Economic Journal: Microeconomics,https://www.aeaweb.org/journals/data/data-code-policy,aeadata,aeadata,mstdn.social,
American Economic Review,https://www.aeaweb.org/journals/data/data-code-policy,aeadata,aeadata,mstdn.social,
American Economic Review: Insights,https://www.aeaweb.org/journals/data/data-code-policy,aeadata,aeadata,mstdn.social,
Canadian Journal of Economics,https://www.economics.ca/cpages/cje-journal-policies,canjecon,,,
Econometrica,https://www.econometricsociety.org/publications/es-data-editor-website,ecmaEditors,,,
Econometrics Journal,https://res.org.uk/replication-policy/,,,,
Economic Inquiry,https://weai.org/view/EI-Journal-Policies,InquiryWEAI,,,
Economic Journal,https://academic.oup.com/ej/pages/General_Instructions#data,EJ_RES,,,
Journal of Economic Literature,https://www.aeaweb.org/journals/data/data-code-policy,aeadata,aeadata,mstdn.social,
Journal of Economic Perspectives,https://www.aeaweb.org/journals/data/data-code-policy,aeadata,aeadata,mstdn.social,
Journal of the European Economic Association,https://academic.oup.com/jeea/pages/Author_Guidelines#Supplementary%20Material%20and%20Data,JEEA_News,,,
Quantitative Economics,https://www.econometricsociety.org/publications/es-data-editor-website,qe_editors
Review of Economic Studies,https://restud.github.io/data-editor/before/#data-availability-policy,reveconstudies,,,
Theoretical Economics,https://www.econometricsociety.org/publications/es-data-editor-website,EconTheory
